source,target
actor,last_name
actor,actor_id
actor,first_name
actor,last_update
actor_info,film_info
actor_info,first_name
actor_info,actor_id
actor_info,last_name
address,last_update
address,phone
address,district
address,city_id
address,postal_code
address,address
address,address_id
address,address2
category,category_id
category,name
category,last_update
city,city
city,city_id
city,country_id
city,last_update
country,last_update
country,country
country,country_id
customer,activebool
customer,last_update
customer,first_name
customer,active
customer,create_date
customer,last_name
customer,customer_id
customer,email
customer,address_id
customer,store_id
customer_list,phone
customer_list,zip code
customer_list,id
customer_list,country
customer_list,address
customer_list,name
customer_list,sid
customer_list,notes
customer_list,city
film,rental_rate
film,film_id
film,description
film,title
film,length
film,last_update
film,special_features
film,rating
film,rental_duration
film,fulltext
film,language_id
film,replacement_cost
film,release_year
film_actor,actor_id
film_actor,last_update
film_actor,film_id
film_category,film_id
film_category,last_update
film_category,category_id
film_list,length
film_list,category
film_list,rating
film_list,description
film_list,title
film_list,actors
film_list,price
film_list,fid
inventory,store_id
inventory,inventory_id
inventory,last_update
inventory,film_id
language,name
language,language_id
language,last_update
nicer_but_slower_film_list,category
nicer_but_slower_film_list,actors
nicer_but_slower_film_list,price
nicer_but_slower_film_list,description
nicer_but_slower_film_list,fid
nicer_but_slower_film_list,title
nicer_but_slower_film_list,length
nicer_but_slower_film_list,rating
payment,customer_id
payment,payment_date
payment,amount
payment,payment_id
payment,staff_id
payment,rental_id
public,address
public,actor_info
public,store
public,film
public,category
public,staff
public,customer
public,inventory
public,customer_list
public,film_category
public,payment
public,staff_list
public,language
public,sales_by_film_category
public,sales_by_store
public,film_actor
public,film_list
public,nicer_but_slower_film_list
public,rental
public,city
public,country
public,actor
rental,inventory_id
rental,return_date
rental,customer_id
rental,rental_id
rental,last_update
rental,rental_date
rental,staff_id
sales_by_film_category,category
sales_by_film_category,total_sales
sales_by_store,manager
sales_by_store,store
sales_by_store,total_sales
staff,username
staff,last_name
staff,picture
staff,store_id
staff,address_id
staff,staff_id
staff,active
staff,password
staff,last_update
staff,first_name
staff,email
staff_list,sid
staff_list,city
staff_list,zip code
staff_list,phone
staff_list,address
staff_list,id
staff_list,country
staff_list,name
store,last_update
store,address_id
store,store_id
store,manager_staff_id
