table_schema,table_name,column_name
public,store,manager_staff_id
public,film,rating
public,film,special_features
public,inventory,last_update
public,staff,staff_id
public,film,title
public,staff_list,country
public,payment,customer_id
public,customer_list,name
public,address,address2
public,actor,first_name
public,customer,active
public,staff_list,address
public,language,name
public,film_actor,last_update
public,address,phone
public,film,last_update
public,film_list,title
public,category,name
public,city,country_id
public,staff,address_id
public,customer,store_id
public,nicer_but_slower_film_list,actors
public,inventory,inventory_id
public,film_actor,actor_id
public,staff,password
public,address,district
public,nicer_but_slower_film_list,length
public,staff_list,id
public,staff,active
public,city,city_id
public,inventory,store_id
public,rental,return_date
public,city,last_update
public,staff,last_name
public,country,country
public,address,address_id
public,staff_list,zip code
public,nodes,source
public,actor_info,film_info
public,staff_list,city
public,sales_by_film_category,total_sales
public,rental,rental_date
public,nicer_but_slower_film_list,fid
public,film_category,category_id
public,sales_by_store,total_sales
public,actor_info,actor_id
public,address,postal_code
public,nicer_but_slower_film_list,category
public,staff,username
public,nicer_but_slower_film_list,rating
public,film,fulltext
public,sales_by_store,store
public,actor_info,last_name
public,address,last_update
public,payment,amount
public,film,language_id
public,staff,store_id
public,customer_list,phone
public,staff_list,sid
public,film_list,price
public,nicer_but_slower_film_list,description
public,customer,email
public,sales_by_store,manager
public,staff,email
public,film,rental_duration
public,payment,payment_date
public,customer_list,city
public,rental,last_update
public,rental,inventory_id
public,film_category,last_update
public,film_list,length
public,customer,address_id
public,rental,rental_id
public,customer,create_date
public,nicer_but_slower_film_list,title
public,film_category,film_id
public,film_list,actors
public,sales_by_film_category,category
public,staff_list,phone
public,nodes,target
public,customer_list,notes
public,film,length
public,address,city_id
public,rental,customer_id
public,actor_info,first_name
public,nicer_but_slower_film_list,price
public,film_list,description
public,film,replacement_cost
public,category,last_update
public,customer,first_name
public,city,city
public,customer_list,sid
public,film,rental_rate
public,staff_list,name
public,language,last_update
public,rental,staff_id
public,film_actor,film_id
public,customer_list,country
public,film,description
public,payment,staff_id
public,customer_list,address
public,address,address
public,actor,last_name
public,customer,last_update
public,store,address_id
public,film_list,rating
public,country,country_id
public,customer,activebool
public,customer_list,id
public,actor,actor_id
public,film,film_id
public,staff,last_update
public,payment,payment_id
public,customer,last_name
public,staff,first_name
public,country,last_update
public,store,store_id
public,film_list,category
public,customer,customer_id
public,inventory,film_id
public,staff,picture
public,film_list,fid
public,store,last_update
public,category,category_id
public,language,language_id
public,actor,last_update
public,customer_list,zip code
public,payment,rental_id
public,film,release_year
